Customer,Year,Date,QC_Number,Customer Complaint,DTC,Failure Analysis,Warranty Decision,Supplier
Honda,2021,2021-01-11,QC-2021-9161,OBD Light ON,"P0301, P6344, B1234",NTF,Customer Failure,Delphi
Toyota,2022,2022-07-31,QC-2022-6792,Low pickup,NA,NTF,According to Specification,Delphi
Honda,2019,2019-07-08,QC-2019-5265,Engine jerking during acceleration,,Sensor short due to moisture,According to Specification,Hanon
M&M,2022,2022-01-15,QC-2022-7258,High fuel consumption,,Track burnt due to EOS,Customer Failure,Valeo
TATA,2020,2020-12-09,QC-2020-7918,OBD Light ON,B1234,Connector damage,According to Specification,NA
Hyundai,2024,2024-03-29,QC-2024-4670,Rough idling,P1245,NTF,Production Failure,Delphi
Toyota,2022,2022-09-22,QC-2022-4743,OBD Light ON,,NTF,Production Failure,Delphi
Toyota,2022,2022-07-15,QC-2022-7948,Vehicle not starting,"P6768, P5657",Connector damage,Customer Failure,Bosch
TATA,2022,2022-02-07,QC-2022-2990,High fuel consumption,"P6344, P0301",Connector damage,According to Specification,Delphi
Toyota,2019,2019-11-10,QC-2019-8297,Engine jerking during acceleration,NA,controller failure due to supplier production failure,Customer Failure,Hanon
Kia,2021,2021-02-22,QC-2021-6686,OBD Light ON,P0987,NTF,According to Specification,NA
TATA,2021,2021-10-08,QC-2021-3566,Rough idling,NA,controller failure due to supplier production failure,According to Specification,Hanon
Kia,2020,2020-12-12,QC-2020-7626,High fuel consumption,,Connector damage,Customer Failure,Delphi
M&M,2022,2022-12-19,QC-2022-7530,OBD Light ON,P0455,controller failure due to supplier production failure,Production Failure,NA
Ashok Leyland,2021,2021-10-08,QC-2021-1324,OBD Light ON,"B1234, P5657, C0045",Sensor short due to moisture,According to Specification,NA
TATA,2021,2021-07-15,QC-2021-8557,OBD Light ON,"P5657, P0301",NTF,Production Failure,Delphi
Honda,2024,2024-04-15,QC-2024-8387,OBD Light ON,"P0301, P5657",controller failure due to supplier production failure,Customer Failure,STM
Hyundai,2021,2021-11-27,QC-2021-1269,High fuel consumption,"P1245, B1234",Track burnt due to EOS,According to Specification,Bosch
TATA,2024,2024-10-01,QC-2024-4845,Low pickup,NA,NTF,According to Specification,Valeo
TATA,2020,2020-03-17,QC-2020-4976,Brake warning light ON,"C0045, B1234",Sensor short due to moisture,According to Specification,Valeo
Honda,2021,2021-05-13,QC-2021-7108,Engine jerking during acceleration,"U0100, P5657, P0455",NTF,Production Failure,Bosch
M&M,2021,2021-06-03,QC-2021-8841,Engine jerking during acceleration,"P5657, P6344, P0301",Sensor short due to moisture,According to Specification,Bosch
Toyota,2024,2024-11-11,QC-2024-5296,Starting Problem,"P6768, P1245",Track burnt due to EOS,According to Specification,NA
Hyundai,2020,2020-02-21,QC-2020-5119,Engine jerking during acceleration,"U0100, B1234, P6344",Track burnt due to EOS,According to Specification,Valeo
Honda,2022,2022-12-14,QC-2022-2920,Vehicle not starting,"B1234, P6344",Sensor short due to moisture,Customer Failure,Delphi
M&M,2021,2021-05-19,QC-2021-5548,Engine overheating,NA,NTF,According to Specification,Bosch
Kia,2021,2021-09-14,QC-2021-5506,Vehicle not starting,NA,ASIC CJ327 failure due to EOS,According to Specification,Delphi
TATA,2022,2022-11-25,QC-2022-5022,Engine jerking during acceleration,,ASIC CJ327 failure due to EOS,Customer Failure,Hanon
Hyundai,2019,2019-12-10,QC-2019-8192,Starting Problem,"C0045, U0100, P1245",Connector damage,According to Specification,Hanon
Honda,2024,2024-03-29,QC-2024-3114,Starting Problem,"P5657, P6768, P0455",NTF,Production Failure,Valeo
Hyundai,2019,2019-06-27,QC-2019-4557,High fuel consumption,,Track burnt due to EOS,According to Specification,NA
Toyota,2020,2020-08-29,QC-2020-8560,OBD Light ON,"P1245, P6344",Connector damage,Customer Failure,Delphi
Hyundai,2021,2021-04-08,QC-2021-4215,Engine overheating,"P6344, P6768, P0455",Track burnt due to EOS,Production Failure,Bosch
Toyota,2021,2021-04-10,QC-2021-4251,Rough idling,"P1245, P6768",ASIC CJ327 failure due to EOS,Production Failure,Valeo
Kia,2023,2023-01-27,QC-2023-8156,Starting Problem,"P1245, P0455",ASIC CJ327 failure due to EOS,Production Failure,Bosch
Ashok Leyland,2023,2023-01-27,QC-2023-1037,Engine jerking during acceleration,NA,Connector damage,Customer Failure,STM
TATA,2020,2020-06-01,QC-2020-7736,Engine jerking during acceleration,"U0100, P0455",controller failure due to supplier production failure,Customer Failure,Valeo
Toyota,2024,2024-02-17,QC-2024-7051,Vehicle not starting,"U0100, P6768",Sensor short due to moisture,According to Specification,Delphi
Kia,2024,2024-01-08,QC-2024-9837,Low pickup,P6768,Connector damage,Customer Failure,Bosch
Hyundai,2019,2019-12-17,QC-2019-8545,Rough idling,"P5657, B1234",controller failure due to supplier production failure,Production Failure,Bosch
Ashok Leyland,2020,2020-01-30,QC-2020-3281,Brake warning light ON,P1245,ASIC CJ327 failure due to EOS,According to Specification,STM
Kia,2022,2022-12-23,QC-2022-8802,Vehicle not starting,"P6768, P0301",NTF,According to Specification,Bosch
M&M,2023,2023-09-20,QC-2023-4076,Engine jerking during acceleration,"P0455, P1245",ASIC CJ327 failure due to EOS,Production Failure,NA
Honda,2023,2023-11-21,QC-2023-2902,Brake warning light ON,U0100,controller failure due to supplier production failure,Production Failure,Valeo
M&M,2021,2021-10-05,QC-2021-9138,Rough idling,NA,Connector damage,Production Failure,Delphi
Toyota,2022,2022-08-14,QC-2022-1105,Starting Problem,U0100,Sensor short due to moisture,Production Failure,STM
Kia,2024,2024-11-21,QC-2024-7750,Starting Problem,NA,controller failure due to supplier production failure,According to Specification,Bosch
Ashok Leyland,2024,2024-03-26,QC-2024-4870,OBD Light ON,"P6768, P0301, B1234",Track burnt due to EOS,Production Failure,Delphi
M&M,2023,2023-02-02,QC-2023-5954,Low pickup,NA,Connector damage,According to Specification,Hanon
Hyundai,2020,2020-04-27,QC-2020-1807,Vehicle not starting,NA,Track burnt due to EOS,Production Failure,Valeo
Ashok Leyland,2024,2024-11-17,QC-2024-2399,High fuel consumption,"P5657, P0455",Track burnt due to EOS,Customer Failure,Hanon
Kia,2024,2024-11-20,QC-2024-7139,Rough idling,,ASIC CJ327 failure due to EOS,According to Specification,Bosch
M&M,2020,2020-04-12,QC-2020-5941,OBD Light ON,"P0455, P6768, P1245",ASIC CJ327 failure due to EOS,Customer Failure,STM
Hyundai,2019,2019-03-08,QC-2019-7043,Starting Problem,P5657,NTF,Production Failure,NA
Ashok Leyland,2021,2021-09-18,QC-2021-9891,Starting Problem,P6768,controller failure due to supplier production failure,Customer Failure,Valeo
TATA,2022,2022-08-18,QC-2022-2479,Rough idling,,Sensor short due to moisture,Production Failure,STM
Kia,2021,2021-10-21,QC-2021-5842,Rough idling,"P1245, P0455, B1234",ASIC CJ327 failure due to EOS,Customer Failure,STM
Kia,2023,2023-05-12,QC-2023-2481,Starting Problem,NA,Track burnt due to EOS,Production Failure,Delphi
M&M,2023,2023-04-07,QC-2023-4041,Brake warning light ON,"P1245, C0045, P0301",ASIC CJ327 failure due to EOS,According to Specification,Valeo
Toyota,2019,2019-06-21,QC-2019-7208,Brake warning light ON,B1234,Sensor short due to moisture,Customer Failure,STM
Hyundai,2023,2023-08-12,QC-2023-9156,Vehicle not starting,B1234,controller failure due to supplier production failure,Customer Failure,Valeo
TATA,2020,2020-04-13,QC-2020-1690,Engine overheating,"B1234, P6768",controller failure due to supplier production failure,Production Failure,STM
Toyota,2023,2023-09-27,QC-2023-9413,Engine overheating,NA,Track burnt due to EOS,Production Failure,Delphi
Ashok Leyland,2021,2021-10-05,QC-2021-5380,Brake warning light ON,B1234,Track burnt due to EOS,Production Failure,NA
Honda,2019,2019-09-30,QC-2019-4110,Rough idling,NA,controller failure due to supplier production failure,Production Failure,Valeo
Toyota,2019,2019-10-21,QC-2019-5289,Vehicle not starting,"P1245, P0455, C0045",ASIC CJ327 failure due to EOS,Production Failure,STM
Ashok Leyland,2019,2019-05-22,QC-2019-9602,Brake warning light ON,,Track burnt due to EOS,Customer Failure,STM
Toyota,2022,2022-08-27,QC-2022-8855,Rough idling,P0301,controller failure due to supplier production failure,According to Specification,STM
Toyota,2022,2022-06-14,QC-2022-6242,OBD Light ON,"U0100, P1245, P5657",Sensor short due to moisture,Production Failure,Hanon
M&M,2021,2021-03-10,QC-2021-3113,Starting Problem,"P6344, P0987, P1245",ASIC CJ327 failure due to EOS,Customer Failure,Valeo
Toyota,2024,2024-03-02,QC-2024-8530,Low pickup,"P0455, P0987, P1245",Sensor short due to moisture,According to Specification,Valeo
Toyota,2020,2020-08-08,QC-2020-4338,Vehicle not starting,U0100,Sensor short due to moisture,Customer Failure,Bosch
Kia,2020,2020-09-12,QC-2020-6125,Starting Problem,"P5657, P0455, P6344",controller failure due to supplier production failure,Customer Failure,Valeo
Ashok Leyland,2022,2022-06-28,QC-2022-7207,Vehicle not starting,P6344,Sensor short due to moisture,Production Failure,Delphi
Toyota,2020,2020-04-01,QC-2020-8857,Rough idling,NA,Connector damage,Customer Failure,STM
Hyundai,2020,2020-09-18,QC-2020-7254,Rough idling,P5657,Sensor short due to moisture,Production Failure,Delphi
M&M,2023,2023-07-08,QC-2023-2079,Engine jerking during acceleration,,NTF,Production Failure,Bosch
Honda,2022,2022-03-28,QC-2022-3021,Rough idling,"P6344, P1245",Connector damage,Production Failure,Delphi
Hyundai,2021,2021-05-30,QC-2021-3730,Engine jerking during acceleration,P0455,Connector damage,Customer Failure,Delphi
Hyundai,2023,2023-01-31,QC-2023-1233,Engine overheating,U0100,Connector damage,According to Specification,Delphi
Kia,2023,2023-05-21,QC-2023-5019,Engine jerking during acceleration,NA,NTF,Customer Failure,STM
Toyota,2024,2024-10-14,QC-2024-1766,Brake warning light ON,"P1245, B1234, P6768",ASIC CJ327 failure due to EOS,According to Specification,STM
M&M,2022,2022-12-13,QC-2022-3079,Engine overheating,NA,controller failure due to supplier production failure,According to Specification,STM
Honda,2020,2020-05-10,QC-2020-1595,Low pickup,P0987,Track burnt due to EOS,Customer Failure,STM
TATA,2022,2022-12-16,QC-2022-9447,Low pickup,,ASIC CJ327 failure due to EOS,Production Failure,Bosch
Ashok Leyland,2019,2019-05-13,QC-2019-3748,Starting Problem,"P6768, U0100",Connector damage,Customer Failure,Bosch
Ashok Leyland,2024,2024-12-31,QC-2024-2682,Low pickup,"P0455, P0301, P0987",controller failure due to supplier production failure,According to Specification,Bosch
Kia,2024,2024-08-01,QC-2024-7244,High fuel consumption,NA,Track burnt due to EOS,According to Specification,Hanon
M&M,2022,2022-04-01,QC-2022-1351,Low pickup,,controller failure due to supplier production failure,Customer Failure,Valeo
TATA,2019,2019-03-14,QC-2019-9879,High fuel consumption,C0045,Track burnt due to EOS,Production Failure,STM
Toyota,2021,2021-08-23,QC-2021-1882,Vehicle not starting,"P6344, U0100, P0987",Connector damage,Production Failure,Hanon
M&M,2020,2020-07-26,QC-2020-8981,Vehicle not starting,,controller failure due to supplier production failure,Customer Failure,NA
Honda,2019,2019-06-24,QC-2019-2999,OBD Light ON,,Sensor short due to moisture,According to Specification,Bosch
Honda,2023,2023-01-28,QC-2023-7780,Engine overheating,NA,controller failure due to supplier production failure,Production Failure,Bosch
M&M,2019,2019-09-12,QC-2019-5790,Starting Problem,C0045,NTF,According to Specification,Hanon
Honda,2024,2024-01-25,QC-2024-3103,Starting Problem,,controller failure due to supplier production failure,Customer Failure,Valeo
Toyota,2020,2020-08-28,QC-2020-6853,Rough idling,NA,Track burnt due to EOS,Production Failure,Bosch
TATA,2020,2020-09-26,QC-2020-8422,High fuel consumption,NA,controller failure due to supplier production failure,According to Specification,Bosch
Ashok Leyland,2022,2022-07-14,QC-2022-7361,Low pickup,"P6344, C0045, U0100",ASIC CJ327 failure due to EOS,Customer Failure,STM
Hyundai,2021,2021-07-07,QC-2021-4355,High fuel consumption,B1234,ASIC CJ327 failure due to EOS,Customer Failure,STM
M&M,2019,2019-02-07,QC-2019-1713,Engine jerking during acceleration,"P0455, P6344",Track burnt due to EOS,Customer Failure,Hanon
Kia,2022,2022-08-17,QC-2022-9860,Low pickup,NA,controller failure due to supplier production failure,Customer Failure,Valeo
Kia,2019,2019-11-17,QC-2019-2985,Vehicle not starting,NA,Connector damage,According to Specification,STM
Ashok Leyland,2019,2019-05-03,QC-2019-9316,OBD Light ON,,Track burnt due to EOS,Production Failure,STM
TATA,2023,2023-08-11,QC-2023-9067,Brake warning light ON,"U0100, P5657",Sensor short due to moisture,Customer Failure,Hanon
Honda,2021,2021-02-03,QC-2021-9832,Engine jerking during acceleration,NA,NTF,Production Failure,NA
Toyota,2021,2021-01-19,QC-2021-3409,Brake warning light ON,"U0100, P1245",Sensor short due to moisture,Customer Failure,STM
Kia,2021,2021-02-02,QC-2021-5561,Engine overheating,"P6768, B1234, U0100",Track burnt due to EOS,According to Specification,Valeo
TATA,2021,2021-08-25,QC-2021-3255,Brake warning light ON,"P0301, P0455, P5657",NTF,Production Failure,Hanon
TATA,2024,2024-01-31,QC-2024-5811,Vehicle not starting,P6344,NTF,Customer Failure,Bosch
Honda,2020,2020-06-19,QC-2020-2678,OBD Light ON,U0100,NTF,According to Specification,NA
M&M,2022,2022-04-13,QC-2022-4163,Low pickup,"P0455, P0987",controller failure due to supplier production failure,Customer Failure,Bosch
Ashok Leyland,2024,2024-01-20,QC-2024-6975,Starting Problem,"P0987, P5657, B1234",controller failure due to supplier production failure,According to Specification,Bosch
Kia,2022,2022-07-25,QC-2022-3468,Vehicle not starting,"P0301, P6768",NTF,Customer Failure,Hanon
Kia,2023,2023-03-05,QC-2023-9154,Brake warning light ON,,Connector damage,Customer Failure,STM
M&M,2022,2022-01-28,QC-2022-3284,Starting Problem,C0045,Track burnt due to EOS,Production Failure,NA
Ashok Leyland,2023,2023-08-06,QC-2023-9609,OBD Light ON,NA,controller failure due to supplier production failure,According to Specification,Delphi
Ashok Leyland,2019,2019-07-11,QC-2019-1934,OBD Light ON,"P6344, P0987",Track burnt due to EOS,Production Failure,Delphi
M&M,2022,2022-08-04,QC-2022-7520,Starting Problem,,NTF,According to Specification,STM
Ashok Leyland,2024,2024-04-08,QC-2024-2644,Vehicle not starting,NA,Connector damage,Customer Failure,Valeo
TATA,2020,2020-05-03,QC-2020-4988,Starting Problem,,Connector damage,Customer Failure,STM
Toyota,2020,2020-10-07,QC-2020-9208,Engine overheating,,Track burnt due to EOS,Production Failure,Hanon
Toyota,2021,2021-10-13,QC-2021-4771,Rough idling,"P0987, P1245",NTF,Production Failure,NA
Toyota,2024,2024-12-17,QC-2024-2339,Brake warning light ON,NA,Connector damage,Production Failure,NA
Honda,2024,2024-06-20,QC-2024-7697,Vehicle not starting,"P6768, B1234",Connector damage,According to Specification,Delphi
Toyota,2019,2019-01-22,QC-2019-3355,Brake warning light ON,,Connector damage,According to Specification,Valeo
Ashok Leyland,2019,2019-06-09,QC-2019-6995,Engine overheating,P6344,ASIC CJ327 failure due to EOS,Production Failure,Bosch
Honda,2019,2019-09-19,QC-2019-5815,OBD Light ON,,NTF,Customer Failure,Bosch
M&M,2021,2021-06-10,QC-2021-3392,Engine overheating,B1234,NTF,Customer Failure,STM
Kia,2021,2021-03-21,QC-2021-6294,Starting Problem,"P0455, P5657, P6344",NTF,Production Failure,STM
Honda,2024,2024-09-29,QC-2024-7149,Vehicle not starting,"C0045, P1245",Sensor short due to moisture,Customer Failure,Delphi
Hyundai,2020,2020-07-28,QC-2020-4784,Starting Problem,NA,Track burnt due to EOS,Production Failure,Valeo
M&M,2019,2019-07-03,QC-2019-5501,High fuel consumption,U0100,ASIC CJ327 failure due to EOS,Production Failure,STM
Kia,2020,2020-02-10,QC-2020-4690,OBD Light ON,P6768,Sensor short due to moisture,Production Failure,Delphi
Honda,2020,2020-02-04,QC-2020-3135,High fuel consumption,,Connector damage,According to Specification,Hanon
M&M,2019,2019-10-28,QC-2019-1034,Engine jerking during acceleration,"P6768, B1234, P0987",ASIC CJ327 failure due to EOS,Customer Failure,STM
Ashok Leyland,2021,2021-07-15,QC-2021-1744,High fuel consumption,,NTF,Production Failure,STM
M&M,2021,2021-06-18,QC-2021-1886,Starting Problem,"P0301, B1234",Sensor short due to moisture,According to Specification,Hanon
Kia,2020,2020-04-05,QC-2020-2418,Rough idling,"U0100, P1245, P6768",Connector damage,Production Failure,Valeo
Ashok Leyland,2021,2021-06-14,QC-2021-3874,High fuel consumption,,NTF,Customer Failure,Bosch
M&M,2020,2020-03-09,QC-2020-3708,Engine overheating,NA,ASIC CJ327 failure due to EOS,Customer Failure,Bosch
Kia,2023,2023-03-15,QC-2023-4911,OBD Light ON,"B1234, C0045",Track burnt due to EOS,Customer Failure,Valeo
M&M,2019,2019-01-28,QC-2019-2879,Rough idling,"P1245, C0045, P0455",controller failure due to supplier production failure,According to Specification,Bosch
Ashok Leyland,2020,2020-05-14,QC-2020-8695,High fuel consumption,"P1245, P5657, P0301",NTF,According to Specification,NA
Honda,2020,2020-04-04,QC-2020-9029,High fuel consumption,,Sensor short due to moisture,According to Specification,Bosch
Hyundai,2021,2021-03-26,QC-2021-9663,Starting Problem,NA,Track burnt due to EOS,According to Specification,Delphi
Hyundai,2021,2021-04-25,QC-2021-8613,Vehicle not starting,"B1234, P1245",Track burnt due to EOS,Production Failure,Delphi
M&M,2021,2021-05-27,QC-2021-4807,OBD Light ON,U0100,Track burnt due to EOS,Production Failure,STM
Kia,2022,2022-11-25,QC-2022-5052,High fuel consumption,B1234,Track burnt due to EOS,Production Failure,Valeo
